Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm
98,3.2667,2423.9921,607.0329,10.5947,40.0746,-0.8444,-8.0237,8.0680
99,3.3000,2444.5775,764.2936,13.3394,70.1608,2.1527,-8.2775,8.5528
100,3.3333,2474.9632,946.8531,16.5257,48.3612,6.9041,-6.9130,9.7702
101,3.3667,2510.9137,1004.7980,17.5370,-11.0106,11.2059,-1.7921,11.3483
102,3.4000,2545.3033,885.6171,15.4569,-69.0821,11.5850,5.4770,12.8144
103,3.4333,2571.7223,677.2830,11.8208,-93.7167,8.7324,11.0660,14.0965
104,3.4667,2588.3649,493.7754,8.6180,-80.5018,5.5786,14.0647,15.1306
105,3.5000,2601.2245,385.2092,6.7232,-46.6595,2.4035,15.5699,15.7543
106,3.5333,2614.2546,341.7453,5.9646,-7.6152,-1.1859,15.9409,15.9850
107,3.5667,2626.7830,353.2921,6.1661,32.7537,-4.5623,15.1273,15.8003
108,3.6000,2637.9340,438.6474,7.6558,69.3855,-7.0971,13.3849,15.1501
109,3.6333,2652.2355,605.6928,10.5713,83.8390,-9.3952,10.3486,13.9772
110,3.6667,2676.2444,799.3068,13.9505,57.7880,-11.4765,5.0511,12.5389
111,3.7000,2707.6396,897.6626,15.6672,1.0009,-10.9957,-1.4749,11.0942
112,3.7333,2739.7989,814.6554,14.2184,-48.7584,-7.4123,-6.1754,9.6477
113,3.7667,2765.6035,630.8387,11.0102,-56.2524,-3.4942,-7.7041,8.4595
114,3.8000,2781.2385,528.3312,9.2211,-15.2352,-1.1872,-7.7029,7.7938
115,3.8333,2793.9571,578.9553,10.1047,42.1240,0.5048,-7.2975,7.3149
116,3.8667,2816.1619,736.5474,12.8552,76.2958,3.0964,-6.3032,7.0227
117,3.9000,2848.6738,920.1929,16.0604,75.8979,5.9088,-3.5963,6.9172
118,3.9333,2880.1231,1027.9435,17.9410,68.2932,6.9984,0.0150,6.9984
119,3.9667,2914.9850,1101.9742,19.2331,44.5382,5.9533,4.1662,7.2663
120,4.0000,2953.2595,1142.2848,19.9366,4.6330,2.2239,7.3938,7.7210
