Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm
90,3.0000,1692.6694,453.0785,7.9077,-16.4390,-1.4929,-4.7842,5.0117
91,3.0333,1707.2640,452.9328,7.9052,5.7583,-0.2724,-5.6995,5.7060
92,3.0667,1722.9722,492.9402,8.6034,18.2841,1.3847,-6.0112,6.1686
93,3.1000,1740.2629,534.6371,9.3312,16.5567,3.3074,-5.6684,6.5628
94,3.1333,1758.8328,557.5969,9.7319,4.1451,5.1147,-4.4724,6.7943
95,3.1667,1777.7520,550.0468,9.6001,-11.1150,6.4301,-2.6304,6.9473
96,3.2000,1795.8365,511.4482,8.9265,-23.3834,6.9676,-0.5072,6.9860
97,3.2333,1812.0605,454.7924,7.9376,-29.8419,6.7318,1.4383,6.8837
98,3.2667,1825.9814,394.4732,6.8849,-30.1424,6.0428,2.9449,6.7222
99,3.3000,1837.9428,339.3443,5.9227,-26.4654,5.2417,4.0868,6.6466
100,3.3333,1848.6900,294.8377,5.1459,-21.3891,4.3980,5.0043,6.6622
101,3.3667,1857.7472,260.6079,4.5485,-15.6701,3.6191,5.7354,6.7818
102,3.4000,1865.8730,235.0210,4.1019,-9.1235,2.8773,6.4242,7.0392
103,3.4333,1873.4296,220.8445,3.8545,-2.9728,2.0924,7.0321,7.3368
104,3.4667,1880.6787,223.0993,3.8938,0.6177,1.2005,7.3139,7.4117
105,3.5000,1887.9938,232.5822,4.0593,1.0872,0.2552,7.2855,7.2899
106,3.5333,1895.8626,233.7667,4.0800,0.8911,-0.7101,6.9160,6.9524
107,3.5667,1904.7084,231.0237,4.0321,5.4401,-1.6432,6.2599,6.4720
108,3.6000,1912.0491,244.1460,4.2612,18.9230,-2.2057,5.4459,5.8756
109,3.6333,1919.6869,292.7419,5.1093,38.4494,-2.6039,4.5675,5.2576
110,3.6667,1930.5332,388.1964,6.7753,54.5301,-3.0405,3.5558,4.6785
111,3.7000,1945.6401,511.7022,8.9309,57.2847,-3.4660,2.3697,4.1986
112,3.7333,1964.8853,623.9891,10.8907,43.2839,-3.7915,1.0241,3.9273
113,3.7667,1987.3037,686.6394,11.9841,18.0860,-3.9019,-0.5001,3.9338
114,3.8000,2011.2694,687.4401,11.9981,-7.8529,-3.4264,-2.0808,4.0087
115,3.8333,2034.5187,645.6180,11.2682,-25.0784,-2.4660,-3.4595,4.2485
116,3.8667,2053.7763,584.3198,10.1983,-30.5595,-1.3000,-4.4678,4.6531
117,3.9000,2072.1866,524.1178,9.1476,-27.6809,0.1993,-5.2188,5.2226
118,3.9333,2089.1390,481.0565,8.3960,-25.0199,1.9531,-5.6278,5.9570
119,3.9667,2104.6335,446.7980,7.7981,-18.9315,3.8966,-5.6414,6.8563
120,4.0000,2118.6703,421.3422,7.3538,-9.4157,5.9477,-5.2306,7.9205
