Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm
95,3.1667,1769.5748,305.6915,5.3353,-49.3664,3.5860,-2.1060,4.1586
96,3.2000,1778.0406,213.8158,3.7318,-42.4762,3.4562,-1.3935,3.7265
97,3.2333,1783.6212,141.0836,2.4624,-31.2537,3.2793,-0.9638,3.4181
98,3.2667,1787.2468,94.3949,1.6475,-18.1771,3.2331,-0.7318,3.3149
99,3.3000,1789.8330,73.6624,1.2857,-6.0106,3.2483,-0.5825,3.3001
100,3.3333,1792.1471,74.3057,1.2969,3.5674,3.2481,-0.4480,3.2788
101,3.3667,1794.8097,90.5381,1.5802,11.2014,3.2202,-0.2925,3.2335
102,3.4000,1798.2931,118.3751,2.0660,19.6417,3.0610,-0.0912,3.0623
103,3.4333,1802.9444,161.2395,2.8142,31.6063,2.8637,0.1473,2.8675
104,3.4667,1809.1499,230.6423,4.0255,46.9352,2.6843,0.4324,2.7189
105,3.5000,1817.8368,334.6459,5.8407,60.6734,2.5501,0.8205,2.6788
106,3.5333,1830.6706,464.8473,8.1131,64.2129,2.3821,1.4127,2.7695
107,3.5667,1848.5726,592.8033,10.3464,51.0593,1.9675,2.2295,2.9735
108,3.6000,1870.6365,677.9715,11.8328,23.6512,1.0921,3.1075,3.2939
109,3.6333,1894.6269,691.1660,12.0631,-5.7398,-0.3020,3.7321,3.7443
110,3.6667,1917.8417,643.5056,11.2313,-21.0543,-1.9816,3.7518,4.2430
111,3.7000,1938.1120,585.0271,10.2106,-13.8105,-3.5585,3.1915,4.7800
112,3.7333,1955.7758,568.9945,9.9308,8.2142,-4.8742,2.1930,5.3448
113,3.7667,1974.2464,621.0378,10.8392,27.2195,-5.6805,0.5724,5.7093
114,3.8000,1996.2546,703.4392,12.2773,29.1230,-5.6057,-1.6344,5.8391
115,3.8333,2021.8268,755.3672,13.1836,15.1903,-4.3540,-3.8966,5.8430
116,3.8667,2049.0606,756.5831,13.2049,-2.3597,-2.0446,-5.3431,5.7210
117,3.9000,2072.5458,719.3385,12.5548,-14.0280,0.2431,-5.4675,5.4729
118,3.9333,2095.3852,695.9484,12.1466,-19.7621,2.1859,-4.6066,5.0990
119,3.9667,2117.5788,665.7102,11.6188,-20.4329,3.3950,-3.1024,4.5990
120,4.0000,2139.1265,628.6241,10.9716,-16.0404,3.7123,-1.4156,3.9731
