Frame,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_rel,CoM_Z_rel
47,-496.9173119394671,-172.51509631143117,-12.907064442535514,0.047397184745367596,-0.026200894025861128
48,-497.83246518402007,-207.02581427521474,-32.487215723616885,0.029524335315961187,-0.03578387009596825
49,-502.03711062682316,-258.80967654227106,-42.97624757289451,0.017612084368821817,-0.03869178331813595
50,-510.79942741165405,-316.3713551193139,-42.061691919736674,0.010510304503334695,-0.030242626964257474
51,-526.1911712200582,-367.94125086976976,-30.90348832620387,0.00589150498067146,-0.01020812998758143
52,-545.3317532857685,-403.47036840972163,-13.330642233130888,0.0019863483747670444,0.017233401660722195
53,-565.2636060128009,-417.1412391994174,5.248709000256639,-0.001700509813725143,0.04532669949092048
54,-581.6356813114008,-409.07599217856756,19.409301570602594,-0.004849397662898239,0.0671204387291767
55,-595.0683097435024,-385.40953088891547,25.10912123438095,-0.007172309688503137,0.07723281333582763
56,-605.8270917210448,-357.134321634145,20.23425732431889,-0.008863421239769948,0.07261085301193307
57,-614.4321728885299,-335.20740706928297,9.094307882379525,-0.01045705853256241,0.05261980280455431
58,-621.991751187431,-325.785854350746,-2.9513801591993456,-0.012377314108993818,0.01899382346373766
59,-629.9686354158262,-329.3024070981191,-10.783868308876606,-0.014565834376203013,-0.024174427173010812
60,-639.9094044670353,-343.1386250643885,-14.60835822961377,-0.016412151808871234,-0.07073982456877277
61,-653.5893345855277,-363.72761879007516,-14.617271366690659,-0.016995391885914143,-0.11355034851433485
62,-668.3326395561497,-385.58514539109416,-11.25753176815769,-0.015479033071584943,-0.14622611284903883
63,-682.9628334318213,-401.99655004753174,-5.419852695260289,-0.01142092507114343,-0.16499964161153532
64,-696.0587701969264,-406.92499458987214,1.6485015124582958,-0.00484041519073844,-0.16963266188846104
65,-710.1390671692892,-396.8859628333446,8.613113116355407,0.003918909455694039,-0.1628668085160539
