Frame,Time_s,Theta_continuous_deg,Angular_Displacement_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,Rotational_KE_J
81.0000,2.7000,378.5005,378.5005,110.8248,1.9343,3.4400,23.4944,7.8614,24.7747,6.6787
82.0000,2.7333,382.3257,382.3257,114.7389,2.0026,1.2963,22.0273,9.0456,23.8123,7.1588
83.0000,2.7667,386.0297,386.0297,114.3817,1.9963,-0.2383,20.8093,10.1627,23.1583,7.1143
84.0000,2.8000,389.7337,389.7337,112.4928,1.9634,-0.7561,19.7868,11.3016,22.7870,6.8813
85.0000,2.8333,393.4377,393.4377,111.2567,1.9418,-0.5626,19.2625,12.7195,23.0831,6.7309
86.0000,2.8667,397.1417,397.1417,110.9412,1.9363,-0.1911,18.5862,14.0779,23.3159,6.6928
87.0000,2.9000,400.8456,400.8456,110.9745,1.9369,0.0211,17.5740,15.1940,23.2315,6.6968
88.0000,2.9333,404.5496,404.5496,111.0428,1.9381,0.0552,16.1904,15.9378,22.7188,6.7051
89.0000,2.9667,408.2536,408.2536,111.1115,1.9393,0.0291,15.7142,17.6085,23.6007,6.7134
90.0000,3.0000,411.9576,411.9576,111.1340,1.9397,0.0090,14.9053,19.0489,24.1873,6.7161
91.0000,3.0333,415.6616,415.6616,111.1194,1.9394,-0.0007,14.1038,20.6456,25.0031,6.7143
92.0000,3.0667,419.3656,419.3656,111.1194,1.9394,-0.0031,12.9455,21.8597,25.4054,6.7143
93.0000,3.1000,423.0695,423.0695,111.1194,1.9394,-0.0007,11.5121,22.6617,25.4181,6.7143
94.0000,3.1333,426.7735,426.7735,111.1194,1.9394,0.0004,9.8850,23.0340,25.0655,6.7143
95.0000,3.1667,430.4775,430.4775,111.1194,1.9394,0.0000,8.1789,23.0678,24.4748,6.7143
96.0000,3.2000,434.1815,434.1815,111.1194,1.9394,0.0000,6.4776,22.8631,23.7630,6.7143
97.0000,3.2333,437.8855,437.8855,111.1194,1.9394,0.0000,4.8450,22.5718,23.0859,6.7143
98.0000,3.2667,441.5894,441.5894,111.1194,1.9394,-0.0000,3.3315,22.5322,22.7771,6.7143
99.0000,3.3000,445.2934,445.2934,111.1194,1.9394,-0.0000,1.8211,22.1193,22.1941,6.7143
100.0000,3.3333,448.9974,448.9974,111.1194,1.9394,-0.0000,0.3560,20.3401,20.3432,6.7143
101.0000,3.3667,452.7014,452.7014,111.1194,1.9394,0.0000,-0.8859,18.7755,18.7964,6.7143
102.0000,3.4000,456.4054,456.4054,111.1194,1.9394,0.0000,-2.0120,17.9219,18.0344,6.7143
103.0000,3.4333,460.1093,460.1093,111.1194,1.9394,0.0000,-3.2669,18.3232,18.6122,6.7143
104.0000,3.4667,463.8133,463.8133,111.1194,1.9394,0.0000,-4.6476,18.9028,19.4658,6.7143
105.0000,3.5000,467.5173,467.5173,111.1194,1.9394,-0.0000,-6.3882,20.2393,21.2236,6.7143
106.0000,3.5333,471.2213,471.2213,111.1194,1.9394,-0.0000,-8.3779,21.5758,23.1454,6.7143
107.0000,3.5667,474.9253,474.9253,111.1194,1.9394,-0.0000,-10.6876,22.9980,25.3601,6.7143
108.0000,3.6000,478.6292,478.6292,111.1194,1.9394,0.0000,-13.3004,24.3651,27.7589,6.7143
109.0000,3.6333,482.3332,482.3332,111.1194,1.9394,0.0000,-16.2447,25.6637,30.3729,6.7143
110.0000,3.6667,486.0372,486.0372,111.1194,1.9394,0.0000,-19.2307,26.4327,32.6880,6.7143
111.0000,3.7000,489.7412,489.7412,111.1194,1.9394,0.0000,-22.1692,26.6639,34.6761,6.7143
112.0000,3.7333,493.4452,493.4452,111.1194,1.9394,-0.0000,-25.0099,26.4055,36.3696,6.7143
113.0000,3.7667,497.1492,497.1492,111.1194,1.9394,-0.0000,-26.5523,24.6315,36.2178,6.7143
114.0000,3.8000,500.8531,500.8531,111.1194,1.9394,-0.0000,-26.9751,21.9587,34.7828,6.7143
115.0000,3.8333,504.5571,504.5571,111.1194,1.9394,-0.0000,-27.1267,19.3085,33.2968,6.7143
116.0000,3.8667,508.2611,508.2611,111.1194,1.9394,-0.0000,-26.5774,16.4395,31.2509,6.7143
117.0000,3.9000,511.9651,511.9651,111.1194,1.9394,-0.0000,-24.9660,13.2942,28.2850,6.7143
118.0000,3.9333,515.6691,515.6691,111.1194,1.9394,0.0000,-23.3714,10.5678,25.6496,6.7143
119.0000,3.9667,519.3730,519.3730,111.1194,1.9394,0.0000,-21.4965,8.0916,22.9690,6.7143
120.0000,4.0000,523.0770,523.0770,111.1194,1.9394,0.0000,-19.5569,5.9504,20.4421,6.7143
121.0000,4.0333,526.7810,526.7810,111.1194,1.9394,0.0000,-17.7203,4.1624,18.2026,6.7143
122.0000,4.0667,530.4850,530.4850,111.1194,1.9394,0.0000,-14.5859,2.4448,14.7894,6.7143
123.0000,4.1000,534.1890,534.1890,111.1194,1.9394,0.0000,-13.3519,1.3588,13.4209,6.7143
124.0000,4.1333,537.8929,537.8929,111.1194,1.9394,0.0000,-13.9830,0.5145,13.9925,6.7143
125.0000,4.1667,541.5969,541.5969,111.1194,1.9394,-0.0000,-15.5237,-0.4328,15.5298,6.7143
126.0000,4.2000,545.3009,545.3009,111.1194,1.9394,-0.0000,-17.9078,-1.6615,17.9847,6.7143
127.0000,4.2333,549.0049,549.0049,111.1194,1.9394,-0.0000,-20.1791,-3.1978,20.4309,6.7143
128.0000,4.2667,552.7089,552.7089,111.1194,1.9394,-0.0000,-22.6858,-5.1162,23.2556,6.7143
129.0000,4.3000,556.4129,556.4129,111.1194,1.9394,-0.0000,-25.2516,-7.4381,26.3243,6.7143
130.0000,4.3333,560.1168,560.1168,111.1194,1.9394,0.0000,-27.6127,-10.1140,29.4067,6.7143
131.0000,4.3667,563.8208,563.8208,111.1194,1.9394,0.0000,-29.1466,-12.8679,31.8608,6.7143
132.0000,4.4000,567.5248,567.5248,111.1194,1.9394,0.0000,-29.8776,-15.5697,33.6911,6.7143
133.0000,4.4333,571.2288,571.2288,111.1194,1.9394,0.0000,-29.8373,-18.0906,34.8932,6.7143
134.0000,4.4667,574.9328,574.9328,111.1194,1.9394,-0.0000,-28.8569,-20.1554,35.1989,6.7143
135.0000,4.5000,578.6367,578.6367,111.1194,1.9394,-0.0000,-27.2086,-21.7489,34.8328,6.7143
136.0000,4.5333,582.3407,582.3407,111.1194,1.9394,-0.0000,-23.8312,-21.7157,32.2413,6.7143
137.0000,4.5667,586.0447,586.0447,111.1194,1.9394,-0.0000,-21.6594,-22.4640,31.2052,6.7143
138.0000,4.6000,589.7487,589.7487,111.1194,1.9394,0.0000,-19.5048,-23.0390,30.1866,6.7143
139.0000,4.6333,593.4527,593.4527,111.1194,1.9394,0.0000,-16.9015,-22.8016,28.3826,6.7143
140.0000,4.6667,597.1566,597.1566,111.1194,1.9394,0.0000,-14.4794,-22.4304,26.6979,6.7143
141.0000,4.7000,600.8606,600.8606,111.1194,1.9394,0.0000,-12.2551,-21.9825,25.1678,6.7143
142.0000,4.7333,604.5646,604.5646,111.1194,1.9394,0.0000,-10.2804,-21.6159,23.9360,6.7143
143.0000,4.7667,608.2686,608.2686,111.1194,1.9394,-0.0000,-8.4950,-21.3131,22.9437,6.7143
144.0000,4.8000,611.9726,611.9726,111.1194,1.9394,-0.0000,-6.9372,-21.3158,22.4163,6.7143
145.0000,4.8333,615.6766,615.6766,111.1194,1.9394,-0.0000,-5.5219,-21.6264,22.3203,6.7143
146.0000,4.8667,619.3805,619.3805,111.1194,1.9394,-0.0000,-4.0764,-21.7410,22.1199,6.7143
147.0000,4.9000,623.0845,623.0845,111.1194,1.9394,-0.0000,-2.7659,-22.8045,22.9716,6.7143
148.0000,4.9333,626.7885,626.7885,111.1194,1.9394,-0.0000,-1.3746,-24.4983,24.5369,6.7143
149.0000,4.9667,630.4925,630.4925,111.1194,1.9394,0.0037,0.2370,-27.5744,27.5754,6.7143
150.0000,5.0000,634.1965,634.1965,111.1194,1.9394,-0.0052,2.1298,-29.0275,29.1055,6.7143
151.0000,5.0333,637.9004,637.9004,111.1194,1.9394,-0.0433,4.1587,-29.9682,30.2554,6.7143
152.0000,5.0667,641.6044,641.6044,111.1194,1.9394,-0.0155,6.1609,-30.0019,30.6280,6.7143
153.0000,5.1000,645.3084,645.3084,110.9728,1.9368,0.1864,8.0335,-29.3487,30.4283,6.6966
154.0000,5.1333,649.0124,649.0124,111.1069,1.9392,0.4004,9.7876,-28.4053,30.0443,6.7128
155.0000,5.1667,652.7164,652.7164,112.2514,1.9592,0.2219,11.3533,-27.1192,29.3998,6.8518
156.0000,5.2000,656.4203,656.4203,113.0968,1.9739,-0.6810,12.7382,-25.6381,28.6282,6.9554
157.0000,5.2333,660.1243,660.1243,111.1128,1.9393,-2.1299,13.7581,-23.7108,27.4133,6.7135
