Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
100,3.3333,1922.8062,198.0254,114.5559,0.6093,-14.6537,14.6664,1.9806,11.8295
101,3.3667,1944.3913,671.4013,120.4462,-3.6959,-19.2866,19.6375,5.2804,362.5377
102,3.4000,1961.0130,988.5882,93.5941,-5.6108,-18.0815,18.9320,7.2742,1082.7767
103,3.4333,1995.0599,1102.5874,38.6364,-4.1229,-14.0796,14.6708,4.2991,796.0307
104,3.4667,2035.0942,1014.7240,-28.0632,-4.9263,-9.7109,10.8890,3.1743,497.8209
105,3.5000,2074.3702,867.6401,-57.5505,-6.7266,-13.1147,14.7391,6.2091,711.9226
106,3.5333,2109.1717,724.7671,-32.5840,-7.7955,-22.1222,23.4556,8.0685,645.5295
107,3.5667,2121.7740,667.4759,12.9449,-7.0699,-34.1934,34.9167,9.3605,635.1783
108,3.6000,2122.6666,768.4072,41.7632,-6.4116,-35.6719,36.2435,10.7571,967.3947
109,3.6333,2156.3170,951.3474,29.6592,-5.6411,-35.0359,35.4871,9.6223,1326.4291
110,3.6667,2201.5981,1068.7271,-13.2853,-4.3629,-31.1953,31.4989,9.6469,1678.2120
111,3.7000,2245.9711,1001.9838,-56.2163,-2.7366,-23.2435,23.4041,7.9148,1210.2836
112,3.7333,2283.4717,732.9158,-66.9686,-1.1043,-16.3412,16.3785,3.9606,324.0396
113,3.7667,2296.3830,469.3081,-34.0881,-3.5742,-14.3882,14.8255,3.6233,121.5489
114,3.8000,2295.1869,449.4424,20.1066,-7.5065,-8.2589,11.1605,3.2889,101.1878
115,3.8333,2305.2103,656.7267,58.0386,-9.1611,-8.7425,12.6632,2.7589,181.2276
116,3.8667,2334.3567,930.3196,55.7024,-6.9786,-18.1218,19.4191,6.3354,835.1425
117,3.9000,2377.1142,1060.5562,18.2874,-5.9845,-20.7290,21.5755,6.2002,1062.1868
118,3.9333,2429.0097,950.4324,-20.5025,-7.0762,-19.2336,20.4940,2.0691,284.6780
119,3.9667,2458.3593,749.5162,-25.9467,-11.1130,-29.9905,31.9832,12.4741,1067.3229
120,4.0000,2468.4921,667.4550,8.0466,-15.7627,-22.5838,27.5407,12.4183,842.6184
121,4.0333,2473.2537,757.3630,50.7339,-14.2181,-6.0456,15.4501,7.7667,678.5339
122,4.0667,2500.6600,975.3641,51.5762,-8.1915,12.7922,15.1902,2.0299,294.1318
123,4.1000,2549.3773,1171.9827,-2.5965,-4.0181,17.8362,18.2832,6.6015,1381.0537
124,4.1333,2604.1968,1164.8308,-80.0671,-2.8108,19.7694,19.9682,10.0866,2084.4595
125,4.1667,2638.4787,848.2994,-133.4175,-0.7499,7.1932,7.2322,2.8293,310.1001
126,4.2000,2657.7384,367.6447,-118.5054,0.5396,1.5964,1.6851,4.6179,95.0657
127,4.2333,2659.9438,129.4539,-34.4172,-0.6381,0.4947,0.8074,7.1184,18.1692
128,4.2667,2657.9700,143.2123,68.4716,-2.1507,-1.3187,2.5228,8.4125,26.2789
129,4.3000,2647.9243,504.3344,127.5337,-2.7375,-2.2183,3.5234,3.8249,148.1755
130,4.3333,2673.9049,981.9883,108.7605,-2.8226,-0.8095,2.9364,3.5945,527.9275
131,4.3667,2723.5753,1202.8894,35.5746,-3.7545,1.2213,3.9481,0.9203,202.8225
132,4.4000,2779.2335,1050.7504,-36.8901,-5.6143,-2.9038,6.3208,5.5533,933.8435
133,4.4333,2823.5254,759.2853,-62.7610,-6.9881,-11.0116,13.0418,6.4243,564.1085
134,4.4667,2841.2237,542.1193,-24.0140,-7.7477,-8.0910,11.2023,3.6971,165.4898
135,4.5000,2811.0801,588.2906,45.1344,-7.7157,6.3176,9.9721,12.2679,646.6617
136,4.5333,2834.7501,869.6443,77.1033,-7.7286,12.9859,15.1117,8.6370,994.8847
137,4.5667,2887.2992,1143.2992,36.3959,-6.8983,15.3464,16.8255,5.0090,997.2387
138,4.6000,2946.0159,1230.1544,-44.4497,-6.3708,22.3893,23.2781,6.7425,1554.0482
139,4.6333,2993.4534,1000.6977,-122.0564,-5.5525,21.0515,21.7714,7.5458,1150.8883
140,4.6667,3014.2405,506.7525,-147.3176,-4.6780,13.8144,14.5850,2.7309,106.8121
141,4.7000,3000.2101,129.4539,-89.7720,-4.5530,-0.1061,4.5542,2.3791,6.0726
142,4.7333,3006.2829,129.4539,13.6456,-6.4823,-1.0852,6.5725,3.1255,7.9776
143,4.7667,3014.8088,213.8180,108.0127,-8.6388,3.9152,9.4846,2.3287,16.2154
144,4.8000,3013.3356,685.9850,148.0505,-8.9735,8.9314,12.6607,2.4683,176.9117
145,4.8333,3044.0608,1073.6904,120.6463,-8.7561,10.5247,13.6908,2.4367,427.8445
146,4.8667,3089.0024,1182.2604,62.2076,-10.7878,-0.5677,10.8028,3.2602,694.0523
147,4.9000,3143.9682,1168.3168,0.7170,-12.6084,-11.0101,16.7390,7.0994,1475.9369
148,4.9333,3193.4065,1062.1377,-34.9421,-11.8623,-19.7308,23.0221,4.9814,855.9226
149,4.9667,3205.9992,942.7839,-29.4429,-9.1272,-6.6419,11.2881,3.1066,420.5722
