Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
99,3.2727,1368.9555,387.3529,6.7606,-3.9463,3.0620,-8.9151,9.4263,0.6500,14.8543
100,3.3058,1388.8019,369.6672,6.4519,-2.3865,6.2798,-7.8099,10.0215,0.6500,13.5288
101,3.3388,1411.9552,360.1542,6.2859,-0.4351,9.2782,-4.9426,10.5126,0.6500,12.8415
102,3.3719,1436.2316,360.7424,6.2961,1.6980,10.8667,-0.7157,10.8903,0.6500,12.8835
103,3.4050,1458.6899,371.5919,6.4855,3.7056,10.4697,3.5417,11.0526,0.6500,13.6701
104,3.4380,1477.5521,388.6161,6.7826,4.8464,9.2000,7.0727,11.6045,0.6500,14.9513
105,3.4711,1491.1812,409.3837,7.1451,5.2415,7.5049,9.3279,11.9722,0.6500,16.5920
106,3.5041,1499.1386,430.6921,7.5170,5.2841,6.1235,10.2473,11.9375,0.6500,18.3642
107,3.5372,1503.5651,449.2747,7.8413,5.5069,5.1512,10.3611,11.5709,0.6500,19.9831
108,3.5702,1508.1217,464.5757,8.1084,5.9504,3.9409,9.8140,10.5757,0.6500,21.3674
109,3.6033,1512.6374,475.8461,8.3051,5.9504,2.8506,9.1171,9.5524,0.6500,22.4167
110,3.6364,1512.3958,487.1166,8.5018,5.9504,2.7157,8.5589,8.9794,0.6500,23.4911
111,3.6694,1519.2384,498.3871,8.6985,5.9504,1.7303,9.1035,9.2665,0.6500,24.5907
112,3.7025,1536.6137,509.6576,8.8952,5.9504,-1.1731,10.1180,10.1858,0.6500,25.7155
113,3.7355,1561.6410,520.9281,9.0919,5.9504,-6.1941,10.0522,11.8074,0.6500,26.8654
114,3.7686,1591.9454,532.1986,9.2886,5.9504,-12.2573,6.5323,13.8893,0.6500,28.0405
115,3.8017,1624.2834,543.4691,9.4853,5.9504,-15.1818,-1.1371,15.2243,0.6500,29.2407
116,3.8347,1646.9906,554.7396,9.6820,5.9504,-13.7766,-7.0167,15.4605,0.6500,30.4661
117,3.8678,1668.5679,566.0101,9.8787,5.9504,-10.0194,-11.3519,15.1412,0.6500,31.7166
118,3.9008,1689.0153,577.2805,10.0754,5.9504,-5.1090,-13.3200,14.2661,0.6500,32.9923
119,3.9339,1708.3329,588.5510,10.2722,5.9504,-0.3734,-12.8301,12.8355,0.6500,34.2931
120,3.9669,1726.5204,599.8215,10.4689,5.9504,3.0851,-10.4013,10.8492,0.6500,35.6190
