Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
156,5.2000,2228.0653,530.6496,22.2577,5.6074,-42.0442,42.4164,12.6121,540.9156
157,5.2333,2243.9433,486.1438,-14.6921,5.9723,-39.2702,39.7217,12.4080,446.6372
158,5.2667,2247.6038,384.0960,-39.8947,5.6607,-36.2617,36.7009,9.5227,213.9760
159,5.3000,2259.5083,257.9568,-46.2922,5.5674,-36.6249,37.0456,13.2744,134.5348
160,5.3333,2271.6463,186.6922,-28.4729,5.1614,-38.1722,38.5196,14.0434,74.5505
161,5.3667,2277.3076,210.4558,5.7939,5.0153,-35.2084,35.5638,11.4550,77.2753
162,5.4000,2280.5537,223.7988,46.0244,4.6360,-30.6646,31.0131,11.1577,85.1171
163,5.4333,2290.6122,309.5309,80.5466,5.1418,-27.6199,28.0944,13.3978,195.5089
164,5.4667,2302.4315,503.1964,96.3325,5.8970,-22.8030,23.5532,9.5707,369.1014
165,5.5000,2318.1386,739.0803,86.9071,6.7169,-17.0882,18.3610,2.6204,218.0070
166,5.5333,2347.5740,929.6955,48.3877,7.0496,-15.9251,17.4157,2.3876,314.3231
167,5.5667,2385.2959,987.9359,-10.7676,6.9427,-18.4221,19.6869,2.7586,410.0779
168,5.6000,2420.0188,882.2911,-68.6534,6.7133,-19.3008,20.4350,3.3142,392.9366
169,5.6333,2451.8242,649.1269,-104.0580,6.0389,-21.3937,22.2297,3.3812,216.9962
170,5.6667,2467.8130,407.3682,-101.7324,5.6111,-23.4188,24.0816,6.4305,162.5346
171,5.7000,2468.9112,229.0983,-63.7514,5.1357,-24.2826,24.8198,11.9277,95.3508
172,5.7333,2471.0862,132.3163,-11.7283,5.7646,-27.8929,28.4823,12.4912,33.3086
173,5.7667,2479.2008,172.2054,28.5470,6.1888,-36.5618,37.0819,12.4958,56.4394
174,5.8000,2491.4570,321.5358,43.6782,6.2892,-43.3924,43.8458,11.9987,188.9377
175,5.8333,2497.1678,448.9115,33.2695,5.4976,-41.3500,41.7138,10.5017,322.3339
176,5.8667,2513.5220,476.4488,3.8895,5.2460,-37.6035,37.9677,8.8832,307.1323
177,5.9000,2534.9885,420.4447,-26.7153,5.2730,-33.2854,33.7005,9.4441,254.2742
178,5.9333,2552.9980,326.6537,-38.3842,6.4156,-34.3751,34.9687,5.9921,97.3824
179,5.9667,2559.5554,225.8175,-25.6739,7.6799,-36.5366,37.3350,8.6804,67.4189
180,6.0000,2560.3511,182.9202,2.9224,8.6147,-38.5488,39.4997,10.9938,56.0268
181,6.0333,2561.8504,235.2226,29.9741,8.7511,-38.2407,39.2293,10.3853,87.5191
182,6.0667,2571.1296,333.1749,36.6133,7.8876,-38.5932,39.3910,11.3927,192.6170
183,6.1000,2590.1724,437.7500,17.4362,7.8418,-35.8993,36.7458,11.8763,346.6223
