Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
95,3.1405,2637.3362,886.4274,15.4711,1.4569,-8.5481,16.5360,18.6147,0.6500,77.7901
96,3.1736,2670.1447,888.0075,15.4987,0.2654,-13.0755,7.5052,15.0763,0.6500,78.0677
97,3.2066,2706.5035,887.7280,15.4938,-1.0902,-12.1680,-1.3871,12.2468,0.6500,78.0186
98,3.2397,2743.2499,888.2103,15.5022,-2.3583,-7.5541,-7.1062,10.3712,0.6500,78.1034
99,3.2727,2771.6559,889.0764,15.5173,-3.0213,-3.2196,-9.7099,10.2298,0.6500,78.2558
100,3.3058,2798.6776,889.3831,15.5227,-3.1641,1.5636,-10.2449,10.3635,0.6500,78.3097
101,3.3388,2825.5698,886.0950,15.4653,-3.4481,5.9744,-8.3543,10.2708,0.6500,77.7318
102,3.3719,2847.5243,878.7200,15.3366,-3.8968,8.9130,-5.6729,10.5652,0.6500,76.4432
103,3.4050,2873.9647,869.3209,15.1725,-4.6782,12.1323,-1.2827,12.2000,0.6500,74.8167
104,3.4380,2907.8002,861.1266,15.0295,-5.2978,13.2130,6.9665,14.9370,0.6500,73.4128
105,3.4711,2937.7408,852.8663,14.8853,-5.1766,9.4824,15.0233,17.7656,0.6500,72.0112
106,3.5041,2962.0585,845.0709,14.7493,-4.1311,2.8722,20.5893,20.7886,0.6500,70.7008
107,3.5372,2989.1081,840.4267,14.6682,-2.5148,-7.5241,21.7184,22.9848,0.6500,69.9259
108,3.5702,3016.5517,840.1601,14.6636,-0.4628,-17.2110,16.3032,23.7068,0.6500,69.8815
109,3.6033,3040.8099,839.2835,14.6483,-0.4628,-21.9926,7.6543,23.2865,0.6500,69.7357
110,3.6364,3071.3727,838.4069,14.6330,-0.4628,-21.2820,-4.2807,21.7083,0.6500,69.5902
111,3.6694,3105.9521,837.5303,14.6177,-0.4628,-13.3591,-13.8106,19.2145,0.6500,69.4447
112,3.7025,3138.5720,836.6538,14.6024,-0.4628,-3.2502,-16.0785,16.4037,0.6500,69.2994
113,3.7355,3159.8661,835.7772,14.5871,-0.4628,2.4785,-14.2511,14.4651,0.6500,69.1543
114,3.7686,3178.3247,834.9006,14.5718,-0.4628,6.3142,-11.7147,13.3080,0.6500,69.0093
115,3.8017,3197.3169,834.0240,14.5565,-0.4628,10.4660,-9.6520,14.2372,0.6500,68.8645
116,3.8347,3225.3583,833.1475,14.5412,-0.4628,15.1730,-3.9641,15.6823,0.6500,68.7198
117,3.8678,3256.1512,832.2709,14.5259,-0.4628,17.3962,5.0380,18.1110,0.6500,68.5753
118,3.9008,3289.6957,831.3943,14.5106,-0.4628,13.9224,16.4142,21.5235,0.6500,68.4309
119,3.9339,3325.9916,830.5177,14.4953,-0.4628,1.8119,25.8563,25.9197,0.6500,68.2867
120,3.9669,3365.0390,829.6412,14.4800,-0.4628,-17.9702,25.6269,31.2996,0.6500,68.1426
