Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
73,2.4132,1422.3323,506.7725,8.8448,-5.5285,30.2079,-9.6218,31.7032,0.6500,25.4252
74,2.4463,1430.8094,487.8803,8.5151,-6.4872,33.4322,-5.4092,33.8670,0.6500,23.5649
75,2.4793,1448.7656,463.0293,8.0814,-6.8365,34.7859,5.3637,35.1970,0.6500,21.2254
76,2.5124,1473.2931,438.6825,7.6565,-6.3930,29.8890,19.6283,35.7578,0.6500,19.0519
77,2.5455,1501.6664,420.0891,7.3319,-5.1882,16.9914,31.5123,35.8013,0.6500,17.4711
78,2.5785,1531.1600,410.4094,7.1630,-3.4309,-0.7218,35.6465,35.6538,0.6500,16.6753
79,2.6116,1559.0599,411.0077,7.1734,-1.4611,-17.2760,31.0900,35.5676,0.6500,16.7239
80,2.6446,1582.6124,421.3853,7.3546,0.3585,-28.2293,21.5732,35.5288,0.6500,17.5791
81,2.6777,1598.7081,439.1126,7.6640,1.7368,-33.0655,12.8863,35.4878,0.6500,19.0893
82,2.7107,1605.5195,459.9200,8.0271,2.5307,-34.0657,8.7976,35.1834,0.6500,20.9413
83,2.7438,1605.2483,478.0677,8.3439,2.7846,-32.9733,8.6822,34.0972,0.6500,22.6265
84,2.7769,1609.1914,487.4272,8.5072,2.5917,-31.4214,5.9988,31.9889,0.6500,23.5211
85,2.8099,1614.2284,486.6493,8.4936,1.7555,-28.5990,2.8907,28.7448,0.6500,23.4461
86,2.8430,1615.5469,477.8913,8.3408,1.4158,-24.7958,1.9311,24.8709,0.6500,22.6098
87,2.8760,1616.8586,466.5575,8.1430,1.9509,-20.7520,1.1389,20.7832,0.6500,21.5501
88,2.9091,1629.3239,457.5921,7.9865,3.2703,-16.7547,-2.7509,16.9790,0.6500,20.7298
89,2.9421,1651.5921,454.3171,7.9293,5.0799,-11.9237,-7.3332,13.9982,0.6500,20.4341
90,2.9752,1680.4698,458.4812,8.0020,6.9516,-5.9922,-10.5782,12.1575,0.6500,20.8104
