Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
222,7.4000,3557.1299,794.1824,-113.3329,2.6842,-8.1764,8.6057,1.4048,134.9520
223,7.4333,3562.4492,568.2893,-119.1040,1.9090,-13.5786,13.7121,4.2276,207.9471
224,7.4667,3574.8489,169.8568,-96.6836,0.6128,-19.4296,19.4393,4.4310,19.4714
225,7.5000,3600.1084,93.4752,-64.9805,-0.6369,-21.2035,21.2130,7.8524,10.4501
226,7.5333,3584.2680,93.4752,-31.7666,-2.3487,-23.1631,23.2819,7.5343,10.0268
227,7.5667,3533.7810,93.4752,-16.1493,-3.4612,-17.0467,17.3945,7.3809,9.8227
228,7.6000,3465.7402,93.4752,-5.3125,-3.4966,-5.9356,6.8889,1.6916,2.2512
229,7.6333,3406.4569,93.4752,37.2855,-2.5255,6.3706,6.8529,2.0265,2.6969
230,7.6667,3375.7185,93.4752,97.6475,-2.1842,13.6417,13.8154,2.8113,3.7414
231,7.7000,3390.7446,137.3600,141.6836,-2.5457,17.2783,17.4648,3.3591,9.6531
232,7.7333,3395.2464,782.8579,154.2403,-2.5778,19.8277,19.9946,3.5809,334.2576
233,7.7667,3426.7857,1171.7497,123.9598,-2.0852,21.5192,21.6200,4.5231,945.8706
234,7.8000,3474.7874,1284.8713,50.5660,-2.0186,16.2366,16.3615,3.1704,797.1771
235,7.8333,3528.3386,1226.2494,-48.4084,-2.3879,0.2383,2.3998,1.5751,360.7401
236,7.8667,3563.0777,1028.0462,-106.6145,-2.7513,-17.8324,18.0434,6.4179,1033.0979
237,7.9000,3595.8380,742.1934,-97.5244,-2.9226,-18.8016,19.0274,8.1841,686.6449
238,7.9333,3605.8603,536.9128,-58.7993,-2.6103,-2.4512,3.5808,1.7360,76.2241
239,7.9667,3620.0226,511.5004,-11.0500,-2.0385,12.6774,12.8403,2.7022,107.6804
240,8.0000,3637.1653,611.3752,31.2166,-1.7148,4.1378,4.4790,1.2226,69.6022
241,8.0333,3664.1765,730.5345,59.6280,-0.7648,-12.8501,12.8729,2.2606,183.7531
242,8.0667,3688.5499,832.9424,70.2781,0.0572,-14.4972,14.4974,4.0678,429.8456
243,8.1000,3727.8182,911.3328,65.7261,0.3908,-0.3497,0.5244,2.6685,337.5541
244,8.1333,3751.1484,1030.4831,50.4528,-0.0178,14.3398,14.3398,3.9887,645.1135
245,8.1667,3782.0190,1171.9757,17.5067,-0.4008,15.3903,15.3955,5.5052,1151.6958
246,8.2000,3820.8447,1191.9864,-36.2926,-1.1767,19.0554,19.0917,1.7293,374.2382
247,8.2333,3868.9053,1083.6027,-95.4359,-2.2415,24.8634,24.9642,6.5150,1165.1460
248,8.2667,3912.3493,844.5704,-130.4235,-3.0502,23.6462,23.8421,6.3309,687.8027
249,8.3000,3936.3403,487.9826,-109.7757,-4.3712,3.1308,5.3768,2.5744,93.3714
250,8.3333,3933.7006,229.2631,-39.2553,-5.6328,-14.5590,15.6107,5.0010,40.0361
251,8.3667,3939.0624,205.1272,39.8991,-6.4657,-8.5730,10.7378,3.6723,23.5350
252,8.4000,3937.4076,449.1449,93.4659,-6.2860,-4.8687,7.9510,2.3873,73.3512
253,8.4333,3960.5222,840.3272,99.9018,-6.6158,-11.0501,12.8792,4.5675,491.2513
254,8.4667,3999.3006,1040.1204,62.6606,-7.3232,-16.8537,18.3760,4.0769,671.7782
