Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,Rotational_KE_J
136.0000,4.5333,1262.3796,98.4165,8.9625,4.8187,-2.8377,5.5922,5.2239
137.0000,4.5667,1265.5121,123.2446,28.9790,3.3801,-12.9312,13.3657,8.1921
138.0000,4.6000,1270.4262,170.8343,32.1846,2.4819,-21.3746,21.5182,15.7403
139.0000,4.6333,1277.3566,317.5178,-18.2254,2.0236,-29.1090,29.1793,54.3748
140.0000,4.6667,1284.7691,108.1908,-60.0690,0.5241,-46.6124,46.6153,6.3131
141.0000,4.7000,1295.1593,0.0000,-40.8521,-0.0499,-50.0776,50.0777,0.0000
142.0000,4.7333,1229.6290,0.0000,-2.6806,0.3901,-44.7641,44.7658,0.0000
143.0000,4.7667,1136.8593,0.0000,-1.9537,1.5654,-36.1937,36.2276,0.0000
144.0000,4.8000,1070.6823,0.0000,17.3007,1.5882,-43.6985,43.7273,0.0000
145.0000,4.8333,1078.6015,4.2128,39.2888,1.8502,-41.8674,41.9082,0.0096
146.0000,4.8667,1080.8874,212.1058,22.0149,2.5733,-26.4118,26.5369,24.2643
147.0000,4.9000,1085.5017,105.5318,-18.4354,3.7618,-7.6145,8.4931,6.0066
148.0000,4.9333,1088.9566,85.3221,-22.7369,5.0152,-1.5508,5.2495,3.9263
149.0000,4.9667,1090.9867,35.6921,7.9037,5.7944,-4.8529,7.5581,0.6871
150.0000,5.0000,1091.9370,102.2361,6.1804,5.8649,-2.9300,6.5561,5.6373
151.0000,5.0333,1093.0045,112.3688,-16.5836,5.6239,1.1592,5.7421,6.8101
152.0000,5.0667,1103.0072,0.0000,-25.1861,4.8729,17.8315,18.4853,0.0000
153.0000,5.1000,1075.6395,0.0000,-7.7920,4.4640,0.6369,4.5092,0.0000
154.0000,5.1333,1013.9713,0.0000,-21.9911,2.8966,-34.9019,35.0219,0.0000
155.0000,5.1667,882.4112,0.0000,52.1704,2.4108,-67.9141,67.9568,0.0000
156.0000,5.2000,760.0347,0.0000,324.4691,2.6749,-50.2854,50.3565,0.0000
157.0000,5.2333,757.9957,1092.3653,395.6280,2.6864,-26.1207,26.2585,643.5728
158.0000,5.2667,851.7213,2044.5713,-13.1714,-0.1111,0.5410,0.5523,2254.5837
159.0000,5.3000,914.2109,1001.2790,-408.0494,-3.0044,9.5876,10.0473,540.7196
160.0000,5.3333,902.7972,5.0696,-294.0265,-4.7362,5.5708,7.3120,0.0139
161.0000,5.3667,904.6742,0.0000,-0.1392,-5.7606,-7.6263,9.5575,0.0000
162.0000,5.4000,908.4818,217.9210,62.0555,-6.7773,-15.9950,17.3716,25.6130
163.0000,5.4333,917.5162,213.3844,58.8717,-7.4186,-23.5986,24.7372,24.5577
164.0000,5.4667,928.4039,318.2070,201.5777,-8.0573,-35.6906,36.5888,54.6112
165.0000,5.5000,932.7572,910.9906,322.1540,-8.2010,-56.5097,57.1017,447.5996
166.0000,5.5333,981.9772,1694.0852,117.3714,-7.4621,-57.5259,58.0079,1547.8624
167.0000,5.5667,1052.7680,1572.3817,-257.7286,-5.8426,-24.3138,25.0060,1333.4534
168.0000,5.6000,1098.0966,470.1595,-371.6735,-4.2057,16.4117,16.9421,119.2209
169.0000,5.6333,1078.7373,0.0000,-161.5457,-3.0310,6.2849,6.9776,0.0000
170.0000,5.6667,1063.4896,0.0000,50.1184,-5.0993,-26.7217,27.2039,0.0000
171.0000,5.7000,1066.2555,215.1329,76.4258,-6.6098,-48.0249,48.4776,24.9618
172.0000,5.7333,1081.5769,329.7143,7.9077,-5.2094,-46.5252,46.8159,58.6324
173.0000,5.7667,1089.2928,211.3761,-50.6091,-1.0290,-39.4392,39.4527,24.0976
174.0000,5.8000,1093.5756,107.9656,-37.5410,1.4937,-24.4502,24.4957,6.2868
175.0000,5.8333,1096.2189,54.4225,-2.3203,2.8380,-12.8460,13.1558,1.5974
176.0000,5.8667,1098.9302,134.1472,-4.1939,3.3541,-12.3564,12.8036,9.7057
177.0000,5.9000,1097.8687,59.4612,-22.5306,2.9588,-7.9549,8.4873,1.9069
178.0000,5.9333,1109.2491,0.0000,-19.7152,2.9584,11.9452,12.3061,0.0000
179.0000,5.9667,1058.6492,0.0000,-2.3270,3.9962,-8.0822,9.0162,0.0000
180.0000,6.0000,965.8422,0.0000,1.3343,4.2122,-27.4384,27.7598,0.0000
181.0000,6.0333,914.4335,0.0000,0.0000,3.2862,-41.3583,41.4886,0.0000
182.0000,6.0667,921.7767,0.0000,0.0000,1.5909,-21.8010,21.8590,0.0000
183.0000,6.1000,918.9517,0.0000,-1.8857,0.3549,-17.7570,17.7605,0.0000
184.0000,6.1333,896.1374,0.0000,5.3726,-1.5203,3.6817,3.9832,0.0000
185.0000,6.1667,897.8682,0.0000,18.5068,-3.0929,15.6253,15.9284,0.0000
