Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
100,3.3333,1836.0978,426.2036,22.8299,9.3967,-6.7898,11.5931,4.4040,121.8457
101,3.3667,1847.6564,330.5916,71.9951,10.5907,2.6518,10.9177,4.4654,74.3312
102,3.4000,1847.2253,566.3189,123.2396,11.3411,-1.5405,11.4453,3.3511,163.6951
103,3.4333,1871.3597,1063.0378,108.9142,11.2696,2.1941,11.4812,3.1591,543.7291
104,3.4667,1895.9165,1418.3710,25.6776,10.5946,-8.7491,13.7402,3.0831,944.7061
105,3.5000,1978.7628,1383.0840,-80.7900,9.7877,-30.0155,31.5710,12.2551,3570.5769
106,3.5333,2040.1793,911.8654,-164.6704,9.8718,-41.7422,42.8937,15.9141,2015.4304
107,3.5667,2061.2400,269.8666,-180.7210,10.1624,-23.7654,25.8470,4.1464,45.9928
108,3.6000,2040.3675,61.9653,-102.1858,10.0433,-2.0570,10.2518,1.9648,1.1491
109,3.6333,2010.5069,61.9653,23.8376,9.7413,8.4168,12.8738,7.1092,4.1576
110,3.6667,1981.3078,61.9653,127.8244,9.9108,12.7935,16.1833,7.6193,4.4559
111,3.7000,2019.6013,506.2521,147.0478,10.2230,2.8326,10.6082,6.8715,268.2309
112,3.7333,2052.7705,857.3894,86.9991,10.1877,-9.8428,14.1658,4.5798,512.7724
113,3.7667,2087.1086,1034.6295,0.7983,10.3693,-20.4041,22.8878,5.1576,840.9002
114,3.8000,2116.7927,887.8845,-76.7019,11.0661,-24.1579,26.5719,7.3728,885.2527
115,3.8333,2130.7841,493.7117,-125.2115,11.6400,-37.1229,38.9050,10.2917,382.0842
116,3.8667,2147.6157,122.8254,-122.7799,13.1547,-47.4002,49.1917,23.7799,54.6400
117,3.9000,2169.9947,61.9653,-72.0418,14.2045,-52.0057,53.9107,20.4386,11.9529
118,3.9333,2135.8799,61.9653,13.4882,14.9595,-49.4296,51.6437,23.5917,13.7969
119,3.9667,2114.3882,61.9653,86.2046,15.5731,-46.7842,49.3080,22.5705,13.1996
120,4.0000,2107.1331,198.8498,106.8801,14.7030,-48.3982,50.5822,22.7451,136.9820
121,4.0333,2117.4131,535.1844,81.7828,13.6351,-50.4646,52.2742,27.6071,1204.3473
122,4.0667,2160.8181,802.8257,29.8659,13.8760,-40.4814,42.7936,17.0404,1672.8142
123,4.1000,2218.5611,784.2254,-29.9604,16.1303,-15.5390,22.3974,5.7765,541.0960
124,4.1333,2208.0974,534.5345,-66.0299,16.8323,0.1856,16.8333,4.5371,197.4509
125,4.1667,2214.4253,275.3966,-53.1311,17.1272,-5.6982,18.0502,4.1170,47.5577
126,4.2000,2240.6562,156.0348,1.3647,16.9609,-9.9918,19.6853,6.4572,23.9447
127,4.2333,2225.5711,317.1341,60.1613,15.9232,7.8269,17.7429,4.6435,71.1310
128,4.2667,2246.2108,618.2414,76.7498,15.8222,5.3769,16.7109,8.7998,512.2864
129,4.3000,2272.2714,776.3499,42.4208,14.4802,-25.4273,29.2613,17.1644,1575.6817
130,4.3333,2296.7546,814.4751,-19.4383,12.2771,-50.2424,51.7206,19.3494,1955.0084
131,4.3667,2330.2820,662.3015,-74.5565,9.8504,-34.0206,35.4179,8.8824,593.4258
132,4.4000,2371.5132,387.9764,-74.3086,9.4595,-8.0131,12.3973,1.6480,37.7834
133,4.4333,2356.4778,258.6918,-6.1613,8.8532,6.4144,10.9327,4.2529,43.3490
134,4.4667,2354.9392,248.0498,83.7148,7.7731,8.8707,11.7945,5.4652,51.2168
135,4.5000,2361.2706,439.2833,103.0584,6.2492,3.9436,7.3895,6.3317,186.0936
136,4.5333,2387.6790,920.2044,45.2001,4.4792,-2.7370,5.2492,4.8607,626.8928
137,4.5667,2425.4269,1214.3171,-26.5528,3.0916,-12.4724,12.8498,3.9709,891.8189
138,4.6000,2461.6323,913.1222,-90.8259,2.2253,-20.6162,20.7359,6.0626,769.9082
139,4.6333,2507.4857,87.6266,-129.2963,1.7833,-28.0762,28.1328,11.3479,13.2713
140,4.6667,2512.7449,61.9653,-111.1747,0.3369,-44.9585,44.9598,12.3047,7.1960
141,4.7000,2445.3974,61.9653,-34.2671,-0.2167,-48.3008,48.3013,28.5184,16.6781
142,4.7333,2340.1038,61.9653,47.4998,0.1740,-43.0529,43.0532,38.3370,22.4202
143,4.7667,2233.6988,61.9653,88.6963,1.4762,-35.4014,35.4322,22.1658,12.9630
144,4.8000,2156.4205,61.9653,92.8622,1.5543,-42.8449,42.8731,19.7517,11.5512
145,4.8333,2158.8830,61.9653,77.3266,1.7508,-40.8738,40.9112,19.6164,11.4721
146,4.8667,2195.8310,409.9646,44.3003,2.2797,-25.3517,25.4540,8.0366,205.7263
147,4.9000,2214.0036,589.3093,22.6695,3.4598,-7.3443,8.1185,2.8570,151.1179
148,4.9333,2224.3608,418.6339,19.7821,4.6687,-1.4958,4.9024,2.8418,75.8551
149,4.9667,2229.7594,264.0522,25.7739,5.4202,-4.6807,7.1615,3.4703,36.8526
150,5.0000,2226.3217,384.2314,30.8494,5.4883,-2.8260,6.1731,3.9153,88.0390
151,5.0333,2239.5524,631.6735,33.2706,5.2558,1.1181,5.3734,3.9539,240.2888
152,5.0667,2273.7378,764.0914,4.3788,4.5314,17.1988,17.7857,3.9482,351.0891
153,5.1000,2308.4792,706.0866,-49.5613,4.1371,0.6143,4.1825,9.4811,719.9467
154,5.1333,2335.6358,468.1586,-92.8726,2.6253,-33.6636,33.7658,21.2308,708.7222
155,5.1667,2343.6250,146.3423,-86.0258,2.1567,-65.5044,65.5399,29.7797,97.1371
156,5.2000,2332.0474,61.9653,-27.7105,2.4009,-48.9740,49.0328,23.7082,13.8650
157,5.2333,2324.6532,61.9653,49.6490,2.4649,-23.3029,23.4329,3.8409,2.2463
158,5.2667,2329.0838,239.2820,105.6233,-0.2157,3.2007,3.2080,2.9998,26.1596
159,5.3000,2342.6344,571.4301,115.9447,-3.0240,11.1385,11.5417,9.0810,451.6344
160,5.3333,2373.2470,845.4037,93.8588,-4.7473,4.9004,6.8228,4.2232,459.7250
161,5.3667,2404.0751,949.1444,49.1783,-5.7248,-7.3557,9.3209,3.3223,455.8606
162,5.4000,2436.3075,896.4402,-22.2460,-6.7053,-15.4275,16.8217,4.5076,551.7114
163,5.4333,2468.4352,824.8309,-84.2476,-7.3239,-22.7613,23.9106,7.7263,800.6206
164,5.4667,2491.0200,700.1857,-109.2826,-7.9400,-34.4243,35.3281,11.9312,890.9119
165,5.5000,2503.2002,419.2385,-103.5079,-8.1135,-54.4940,55.0947,17.2944,462.9691
