Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
125,4.1667,1460.4535,558.2773,-67.0026,-9.3702,-2.0432,9.5904,2.3930,113.5958
126,4.2000,1461.8146,421.8730,-75.1278,-10.6795,-13.0890,16.8930,4.5174,122.4538
127,4.2333,1470.3392,343.8446,-66.0576,-13.0247,-28.0321,30.9102,8.4617,152.3722
128,4.2667,1490.6474,195.1391,-49.8162,-15.1225,-38.3799,41.2518,12.5738,72.9254
129,4.3000,1487.3300,87.2745,-31.0769,-16.1453,-17.1248,23.5358,2.6792,3.1082
130,4.3333,1485.0883,87.2745,-22.9473,-17.4375,3.3127,17.7494,4.8433,5.6187
131,4.3667,1477.9628,87.2745,32.9928,-16.5895,11.7128,20.3076,5.8252,6.7579
132,4.4000,1432.3888,87.2745,143.6461,-15.6676,10.8411,19.0527,4.1893,4.8600
133,4.4333,1376.7903,87.2745,246.3410,-14.9197,11.5591,18.8735,4.4896,5.2084
134,4.4667,1358.4518,612.2686,283.1974,-14.1334,8.0529,16.2666,3.8766,221.3402
135,4.5000,1409.9234,1593.1113,221.6159,-14.1390,11.1142,17.9844,2.2984,888.4821
136,4.5333,1508.8383,2165.1467,78.6620,-16.2530,1.0568,16.2873,3.4597,2470.2203
137,4.5667,1598.6329,2052.4534,-93.3070,-17.4621,-14.5667,22.7402,11.1271,7139.2881
138,4.6000,1662.9040,1412.7553,-235.5829,-15.5352,-26.1366,30.4050,10.1582,3088.0012
139,4.6333,1678.8219,656.9967,-245.5365,-12.8952,-25.8711,28.9068,4.8506,318.8926
140,4.6667,1675.1100,222.8723,-131.9405,-10.4323,-29.8201,31.5922,9.8239,74.3226
141,4.7000,1674.5823,186.9867,0.6315,-8.1778,-34.8075,35.7553,9.9942,53.2226
142,4.7333,1689.4388,462.0213,64.2834,-7.3062,-35.6362,36.3775,11.9329,387.9668
143,4.7667,1710.6745,839.4984,45.0850,-10.8916,-28.6107,30.6137,12.0801,1296.6858
144,4.8000,1749.4468,873.9807,-16.4388,-14.2307,-13.4196,19.5602,1.9812,230.4983
145,4.8333,1773.5132,551.9287,-77.7286,-13.4327,3.9403,13.9987,2.0267,94.0316
146,4.8667,1809.8850,174.2916,-107.3996,-9.8569,7.7800,12.5573,3.6929,17.0864
147,4.9000,1804.3187,87.2745,-66.5829,-7.2712,8.8667,11.4668,1.8028,2.0914
148,4.9333,1761.5980,87.2745,20.1265,-7.4135,-3.1197,8.0431,5.6608,6.5671
149,4.9667,1755.5043,87.2745,76.9302,-8.9756,-20.3133,22.2079,4.5457,5.2735
150,5.0000,1766.4094,294.5654,72.1030,-10.3213,-34.7921,36.2908,9.1936,121.4991
151,5.0333,1778.6511,615.1017,32.7522,-8.5616,-28.7366,29.9849,10.7160,617.5202
