Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
99,3.3000,1755.0654,304.4900,100.0392,6.8937,-22.2282,23.2727,8.8332,124.7356
100,3.3333,1764.9882,521.1286,96.3099,6.5718,-22.8019,23.7301,6.7059,277.3769
101,3.3667,1782.3412,722.6119,61.5635,5.1256,-24.8610,25.3839,6.5202,518.5539
102,3.4000,1814.7618,833.4170,-1.2388,4.1067,-29.4837,29.7683,7.4041,783.2938
103,3.4333,1848.7164,769.6431,-61.2864,4.0651,-28.8001,29.0856,8.4330,760.8236
104,3.4667,1873.4701,546.2167,-96.4529,3.8399,-26.4396,26.7170,5.6940,258.7433
105,3.5000,1887.5589,263.4277,-99.2596,3.7201,-24.4241,24.7058,5.7137,60.3900
106,3.5333,1889.4801,61.2745,-63.7047,4.0139,-25.8932,26.2024,7.6209,4.3580
107,3.5667,1878.4431,61.2745,-12.3508,4.2396,-26.6109,26.9466,7.2862,4.1666
108,3.6000,1879.0529,61.2745,22.9942,4.6478,-27.2449,27.6385,9.7294,5.5638
109,3.6333,1884.4397,202.7472,29.6629,4.6988,-28.1553,28.5447,6.4556,40.4177
110,3.6667,1895.4325,312.7576,19.0779,5.0986,-27.1893,27.6632,9.2629,138.0021
111,3.7000,1910.8035,295.3005,16.9328,5.1974,-22.8053,23.3901,10.0717,133.7691
112,3.7333,1925.2792,230.6316,33.8597,4.5715,-16.4922,17.1141,4.8202,39.0508
113,3.7667,1928.3628,276.9744,67.6536,3.2798,-13.0460,13.4519,6.3976,74.7515
114,3.8000,1931.5133,462.9210,102.7083,2.9252,-8.6924,9.1714,7.0941,231.5452
115,3.8333,1942.0116,751.1827,106.4228,3.7039,-3.5838,5.1539,4.7744,410.3329
116,3.8667,1977.2806,1028.6266,62.2434,4.5344,2.2026,5.0411,2.5429,409.8056
117,3.9000,2024.7380,1119.0288,-15.0513,4.8816,0.8577,4.9564,3.3314,635.3794
118,3.9333,2068.7035,964.4491,-88.6742,5.3745,-1.1245,5.4909,3.4713,491.7867
119,3.9667,2098.0545,646.8521,-128.9962,5.7415,-1.8516,6.0327,4.0218,256.3033
