Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
105,3.4711,2713.5091,732.3320,12.7816,1.9713,-32.4639,-7.7994,33.3876,0.6500,53.0951
106,3.5041,2741.2114,731.4447,12.7661,2.0582,-24.6958,-21.6282,32.8277,0.6500,52.9665
107,3.5372,2757.0845,726.1512,12.6737,1.9223,-17.7254,-27.3831,32.6194,0.6500,52.2026
108,3.5702,2766.6066,717.6742,12.5258,1.1307,-13.0532,-30.1737,32.8761,0.6500,50.9909
109,3.6033,2781.4206,719.8159,12.5632,1.1307,-4.9993,-33.1371,33.5121,0.6500,51.2957
110,3.6364,2803.8059,721.9576,12.6005,1.1307,8.2342,-33.5088,34.5057,0.6500,51.6014
111,3.6694,2835.4208,724.0993,12.6379,1.1307,25.4535,-25.0823,35.7352,0.6500,51.9080
112,3.7025,2870.6025,726.2410,12.6753,1.1307,35.9937,-5.9571,36.4833,0.6500,52.2155
113,3.7355,2905.9184,728.3826,12.7127,1.1307,33.3490,16.2066,37.0784,0.6500,52.5239
114,3.7686,2937.1731,730.5243,12.7501,1.1307,20.1873,31.2923,37.2389,0.6500,52.8333
115,3.8017,2958.9323,732.6660,12.7874,1.1307,7.0401,35.9910,36.6731,0.6500,53.1435
116,3.8347,2982.6758,734.8077,12.8248,1.1307,-7.9189,35.2080,36.0875,0.6500,53.4546
117,3.8678,3002.9957,736.9494,12.8622,1.1307,-19.1868,29.5499,35.2325,0.6500,53.7667
118,3.9008,3019.8918,739.0911,12.8996,1.1307,-26.0868,21.9735,34.1080,0.6500,54.0797
119,3.9339,3033.3643,741.2327,12.9370,1.1307,-29.2422,14.6662,32.7139,0.6500,54.3935
120,3.9669,3043.4131,743.3744,12.9743,1.1307,-29.7583,8.8639,31.0504,0.6500,54.7083
